Commentary,Players,Teams,Sentiment,Confidence,Play Type
"short of a length outside off, pushed into the off side off the back foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.989,no run
length ball angled in at the corridor. Gets forward to leave,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.993,no run
"short of a length outside off, gets forward to defend and chops it into the pitch","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.992,no run
"oh lovely shot, but Stokes won't give him runs at point. Overpitched ball shaping away from him. He opens the face late after a front foot stride. Stokes dives to his left and saves","['Stuart Broad', 'Stokes', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.982,no run
length ball swung in at off stump. Gets closer to the ball this time and opens the face again. This time he gets it to Stokes' left,"['Stuart Broad', 'Stokes', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.979,run
inswinger fired down leg side. Looks to whip it but that's swung viciously. Bairstow flies to his left to gather one handed,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.942,no run
"well timed again. Length ball outside off, allows it to skid on and nudges it wide of mid on","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.996,run
thick outside edge rolls through to third slip. Gets forward to defend an outswinger that's quite wide,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.984,no run
length ball hooping away from wide outside off. Left alone,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.993,no run
"well played. Full outswinger on off stump, almost yorker length. Allows it to get in his area and gently taps it between bowler and mid off","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,four
"short of a length on off stump, defended off the back foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.899,no run
"misfield at square leg. Looks like Anderson. Yes, he's cleaning up at the boundary now. Length ball onto the pads was tapped straight to him. He was late on getting down","['Anderson', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.976,run
"full outswinger on off stump, pushed straight to cover. Not happy with himself. That was driving length for him","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.997,no run
length and in at leg stump. Tapped through square leg with a closed face,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.816,run
outside edge falls short of third slip. Hard handed jab at a rising length ball outside off,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.92,no run
"length ball on off stump, defended into the off side","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.893,no run
"length ball on off stump, blocked on the front foot off the bat pad","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.948,no run
"length on off stump, pad across into the off side and a late flick of the wrists to get this wide of mid on","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.909,run
"short ball in the corridor, nicely on top of it to defend into the covers","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.999,no run
"length ball outside off, defended solidly on the front foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.998,no run
looks to flick from off stump. Rattled on the back thigh. This is length and in at off,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.983,no run
length ball curved away from the corridor. Left alone,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.996,no run
length ball on leg stump. Can't get bat on the flick but his deflection off the thigh brings India their hundred,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,leg bye
"leading edge safely out to the wide third man boundary. That's a brilliant delivery from Woakes. Angles it into middle and leg from wide of the crease, gets it to straighten. Rahane has already closed the face on the flick but this bisects fourth slip and backward point comfortably","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,four
shout for lbw but that's going down. Length ball strikes him in front of leg stump but that hasn't straightened. Off the thigh guard down to fine leg,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.994,leg bye
struck in front but that was probably going high. England won't review this lbw decision. Slanted in from a length and the extra bounce saves Kohli who is beaten on the inside edge once again,"['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.97,no run
"length ball wide outside off, left alone","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.923,no run
"short of a length on off stump, defended off the back foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.899,no run
"full on off stump, gently nudged to mid off from the crease","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.933,no run
"length ball swung away wide outside off, left alone","['Stuart Broad', 'Ajinkya Rahane', 'ball swung']","['India', 'England total runs']",NEGATIVE,0.668,no run
well left. That climbs steeply outside off as he gets forward to defend. Does well to get the bat out of the way,"['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.974,no run
"length ball on off stump, blocked on the front foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.942,no run
"shot. If we bats long, we'll see a lot of this from Kohli. Short stride, posibbly because of his back issues, but he has drilled that on the up through extra cover. Length ball swung away from wide outside off","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.988,four
"short of a length outswinger from the corridor, left alone","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.998,no run
length ball angled in at middle stump. Wacthful push into the leg side,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.811,no run
"yorker length at middle stump, gets the front leg out of the way and jams it into the leg side","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.764,no run
well left. This comes in with the angle in the corridor. But he's covered off stump to let it pass,"['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.999,no run
"length ball wide outside off, left alone","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.923,no run
bouncer wide outside off. Thinks of the hook but it's gone too far away for him,"['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short of a length outside off, bit of an away from the body poke this time. Opened face, angled bat, can't get it past point","['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.954,no run
outside edge past Jennings who is in close with a helmet at third slip. It still falls short to his right. Rahane plays with soft hands as this rises up from short of a length,"['Jennings', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.554,four
"short of a length at middle stump, thick inside edge through square leg","['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.797,run
"full ball wide outside off, jammed into the covers","['full ball', 'Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short of a length and wide outside off, left alone","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.998,no run
"length ball curving away in the corridor, left alone","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.998,no run
"that's expertly done. Good stride, gets close to the ball, bat close to body and a high elbow as Rahane meets this outswinger outside off and caresses it wide of mid off","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.999,run
"length on off stump, blocked into the covers with a step down the pitch","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length ball jumps away from outside off, left alone","['James Anderson', 'Virat Kohli', 'ball jumps']","['India', 'England total runs']",NEGATIVE,0.992,no run
"length outside off, zips away and he follows with his hands. Opens the face and gets it wide of third slip","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.992,run
"short of a length outside off, defended off the back foot","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.896,no run
"aerial but safe. Rahane not in control but he picks up four. It's not a cut, it isn't a back foot drive. Something halfway a stab away from the body while he's still in the air trying to get on top of this. Short ball from Stokes outside off, but that wasn't convincing from the batsman","['Stokes', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.988,four
"short of a length outside off, dropped into the point region with soft hands","['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.876,run
"short of a length outside off, pokes through point","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.765,run
length ball in at middle and leg. Solidly defended with a straight bat,"['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.999,no run
short of a length and cramping him at the hips. Forces it behind square with the bottom hand off,"['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.921,run
"easy. A full toss on off stump and anyone from this batting order, despite their demons, would have put that away. Kohli picks midwicket and he sends it there","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.997,four
inside edge onto pad. Stays back to a length ball in the corridor,"['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.946,no run
"length outside off, left alone","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.998,no run
"length on off, defended from the crease","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.558,no run
"short of a length at of stump, defneded off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.933,no run
"length on off stump, poked to point off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.976,no run
"short of a length on leg stump, pushed to square leg off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.976,no run
"length on off stump, well forward to block","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.965,no run
"dropped short on middle stump, gets deep in the crease and whips it to deep square's left","[""deep square's"", 'Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.797,run
"short on middle stump, punched to mid on off the back foot","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.997,no run
"that's woeful. For all the beauty they can produce, no one quite does half trackers as badly as legspinners. This one is on the pads, dug in shorter than bouncer length. Kohli gets back and whips to fine leg","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.984,four
"tossed up outside off, left alone","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.999,no run
"creamed. Floated right up, wide outside off. Gets to the pitch and beats sweeper cover easily to his right","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.998,four
overpitched on the pads nicely clipped to the square leg boundary. Class from Rahane. Plays that so late,"['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.996,four
beaten. Straightens in the corridor as Rahane gets forward to defend with hard hands,"['James Anderson', 'Rahane', 'Ajinkya Rahane', 'Straightens']","['India', 'England total runs']",POSITIVE,0.946,no run
length and slanted into the corridor. Gets behind it and defends with soft hands,"['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.983,no run
"length on leg stump, pings off the inside half as he looks to defend on the front foot. Trickles teasingly to fine leg's left","['James Anderson', 'Ajinkya Rahane', 'Trickles']","['India', 'England total runs']",NEGATIVE,0.61,run
"full outside off, left alone","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.998,no run
"short of a length just outside off, defended into the covers off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.967,no run
"non turner outside off, left alone","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.998,no run
"looped up full and outside off, Kohli drives with the wrists and finds deep cover","['Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",POSITIVE,0.97,run
"shorter and sliding into the pads, Rahane whips it away to deep square leg off the back foot","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.833,run
"back of a length and breaks away outside off, Rahane jumps back and slaps it away to the left of deep cover","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.968,run
"tossed on off, not much turn, Rahane stretches out to smother it","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.997,no run
"on a length on off, defended off the front foot again","['Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.644,no run
"inswinger from Anderson, Kohli gets his front pad outside the line and gets struck on the front pad. Replays detect an inside edge","['James Anderson', 'Kohli', 'Virat Kohli', 'Anderson']","['India', 'England total runs']",NEGATIVE,0.591,no run
"pitched up and outside off, patted to the covers off the front foot","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.99,no run
"full and straight, forward and flicked to midwicket","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.989,no run
"good length and outside off, Kohli stretches out, manipulates the bat face and drives it in the gap at point for four","['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.997,four
"good length inswinger, teases the off stump, Kohli knows it won't come back enough to kiss off. Left alone","['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.615,no run
"full and curving in, Kohli gets his front pad outside the line and takes it on the pad. Impact outside the line again","['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.996,no run
"floats a legbreak up outside off, Rahane presses forward and eases a single to sweeper cover","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.999,run
"dangled up on off, driven to the covers off the front foot","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.892,no run
"full on middle, dead batted away","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.99,no run
opens the face and drives a full ball to cover,"['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.995,no run
"fuller and outside off, Kohli leans into another drive and strokes it straight to the covers","['Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",POSITIVE,0.998,no run
"dragged short on middle, Kohli goes on the back foot and whips a single to deep midwicket","['Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",POSITIVE,0.95,run
"good length and slanting in on middle, Rahane shuffles across off and drops the ball to the leg side","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.995,no run
"back of a length on a fourth stump line, Rahane gets right behind it and blocks stoutly to cover","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.614,no run
Rahane opens the face and glides this length ball to the left of backward point,"['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.978,no run
"good length on off, Rahane gets right forward and defends to cover","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,1.0,no run
"back of a length on off, Rahane opens the face and steers the ball quietly to backward point","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.659,no run
full and angling into a front foot drive to mid on,"['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.958,no run
"full on off, Kohli stays leg side of the ball and laces a single to sweeper cover","['Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",POSITIVE,0.997,run
"tossed outside off, Rahane stretches out and flat bats the ball away to the right of sweeper","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.981,run
"dragged down on off, keeps a bit low. Rahane goes back, adjusts to the lack of bounce, and punches back to Rashid","['Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.994,no run
"tosses it up outside off and gets it to spin away, left alone","['Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.993,no run
"full on off, front foot defensive from Rahane","['Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.928,no run
Rahane reads this legbreak and lets it go outside off,"['Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.988,no run
Kohli gets inside the line of this length ball on middle and clips a single to deep square leg,"['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.987,run
"good length just a shade outside off, tapped to the covers off the front foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.827,no run
back of a length and angling into a gentle little push back to Anderson,"['James Anderson', 'Ajinkya Rahane', 'Anderson']","['India', 'England total runs']",POSITIVE,0.963,no run
"back of a length and outside off, jabbed to point off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.932,no run
"good length on a fourth stump line, blocked off the front foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.988,no run
"shorter on off, Rahane camps back and stabs it to the covers","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.986,no run
"on a length and breaks away outside off, driven fluently to sweeper off the front foot","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.657,run
"much fuller and outside off, eased through the covers again, this time by Rahane","['Rahane', 'Ajinkya Rahane', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.978,run
"half tracker, finishes outside leg, Kohli rocks back and pummels it away behind square for four","['Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.511,four
"dangled up wide outside off, spins away further, left alone","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.884,no run
"full on off, pressed to the covers","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.974,no run
"full and outside off, stretches out and drives with the wrists square on the off side for a couple of runs. Positive running from Kohli and Rahane","['Rahane', 'Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",POSITIVE,0.994,run
"good length and angling into off stump, Rahane deploys a strong stride and deals with it","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,1.0,no run
"back of a length on off, defensively dropped to the off side off the back foot","['James Anderson', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.981,no run
"just short of a good length and outside off, Rahane meets it with an open face and handsomely punches past cover's left","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.996,four
"shortish and outside off, Rahane rides it out to backward point","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.615,no run
"similar ball from Anderson, similar short, steered to backward point","['James Anderson', 'Ajinkya Rahane', 'Anderson']","['India', 'England total runs']",NEGATIVE,0.983,no run
"good length and outside off, Rahane shoulders arms and rounds out the over","['James Anderson', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,1.0,no run
"back of a length and outside off, the old ball isn't moving, Kohli reaches out and punches through point to bring up his fifty. He raises his bat and a hug from Rahane is part of the celebrations","['Rahane', 'Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.994,run
"back of a length and on a fourth stump line, Rahane gets on top of it and jabs the ball to the covers","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.985,no run
"short on the hips, tucked away to deep square leg","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.856,run
"pitched up and outside off, driven to deep ish mid off","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.997,no run
"full and outside off, opens the face and secures a single to point","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.998,run
"spits up from a length on off, hits the splice and rolls to the cordon","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.988,no run
"back of a length and outside off, Kohli loosens his grip and fends it back to Anderson","['James Anderson', 'Virat Kohli', 'Anderson', 'Kohli']","['India', 'England total runs']",POSITIVE,0.992,no run
"back of a length and outside off, opens the face and pats the ball to the covers","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.829,no run
"full and outside off, driven to the covers off the back foot","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.985,no run
"full on the stumps, shuffles across and blocks to the leg side","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.986,no run
"good length on off, shuffles across again, this time he pushes to mid on","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.915,no run
"back of a length and outside off, left alone","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short, wide, Rahane gets on top of it and flays it away to bring up a fifty of his own. Crunched through the cover point region","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.677,four
"short, wide, again, laced to the covers","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.974,no run
"full outswinger, Rahane watches it through to the keeper","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,no run
"fullish and outside off, no shot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.975,no run
"back of a length and bounces through the channel, Rahane shoulders arms again","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.998,no run
"full and wobbles away outside off, Rahane keeps leaving these","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short and outside off, Kohli swivels on the back foot and drags to deep midwicket","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.993,no run
"lifter outside off, Kohli ducks under it","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.986,no run
"another short ball outside off, tempts Kohli into a hook and sails over his head","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.9,no run
"short and outside off, Kohli sways his upper body out of the way and lets it go","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.999,no run
"short and rises outside off, Kohli rises with it, aims to ramp it over the cordon. Beaten in the end","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.961,no run
"bouncer outside off, umpire Erasmus calls it a wide and has a word with Stokes","['Stokes', 'Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.985,wide
Kohli hops and tucks a back of a length ball to midwicket,"['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.52,no run
"short on off, Rahane hops and fends to cover","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.943,no run
"full and straight, turned to midwicket","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.579,no run
"full and nibbles away late outside off, Rahane leaves it be","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.962,no run
Rahane plays with soft hands and guides it to the cordon,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,no run
"full on off, defended to the covers off the front foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.912,no run
"full toss on middle, driven back, the bowler gets a hand onto it and deflects it towards long on","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.973,run
"short and outside off, Rahane swats it away like a fly to backward square leg","['Rahane', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.963,no run
"short and outside off, Rahane drops his gloves and lets it thud into the gloves of YJB","['Rahane', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.994,no run
"bouncer on off, Rahane has his eyes locked on the ball before sinking under it","['Rahane', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.935,no run
"short and ducks back in, Rahane aims to evade it, the ball hits his back instead and runs away to fine leg","['Rahane', 'Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.954,no run
Rahane jumps to get on top of a short ball outside off and jab it away through backward point,"['Ben Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.735,run
"back of a length and moving away outside off, Kohli lets it pass","['Ben Stokes', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.925,no run
full and angling into a solid push to mid on off the front foot,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.994,no run
"full and angling into off, Rahane presses forward, meets the pitch, opens the face and dabs to point","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.997,no run
"dug in short and outside off, Rahane swerves out of the way","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.527,no run
glanced off the pads to long leg,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.934,run
"wide of the crease, banged down leg, Kohli leaves it, the ball skips away fine past a tumbling YJB","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.862,bye
"short on off, Kohli rides the bounce and fends it off to short leg","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.986,no run
"oh glorious. Overpitched ball just outside off, nicely to the pitch of it to punch wide of mid off","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.999,four
"length outside off, left alone","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.998,no run
"short of a length at middle stump, defended off the back foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.931,no run
"length ball just outside off, defended into the covers","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.75,no run
"short of a length just outside off, defended off the back foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.906,no run
"short of a length outside off, left alone","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.997,no run
leading edge as this rises on Kohli. He's looking to turn the corridor ball into the leg side,"['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.985,run
"short of a length in the corridor, defended off the back foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.982,no run
"length ball bending away from wide outside off, left alone","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.991,no run
leading edge again. Short of a length and curving away from off. Looks to whip it leg side and it ends up at cover,"['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.766,no run
"length ball wide outside off, left alone","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.923,no run
dropped! A difficult chance at point for Anderson. Woakes drops it short outside off and Rahane slaps it viciously off the back foot. It's a few feet above Anderson and he leaps one handed but can't hold on. The ball was above his right shoulder and he went left handed remember Collingwood?,"['Collingwood', 'Anderson', 'Chris Woakes', 'Rahane', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.958,no run
"length on off stump, punched to mid off","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.99,no run
